DATE,CPI,UNRATE,IMPORTS,EXPORTS,GDP,year,INFLATION,INFLATION_LAGGED,TRADE,TRADE_GDP,UNRATE_c,TRADE_GDP_c,UNRATE_x_TRADE
1957-04-01,27.93,3.9,20.27,24.369,472.025,1957,3.983618763961272,2.709725315515965,44.638999999999996,9.456914358349664,-1.9145833333333333,-9.65509238083185,18.48547895413431
1957-07-01,28.19,4.2,19.762,23.759,479.49,1957,4.951600893521979,3.983618763961272,43.521,9.076518801226303,-1.614583333333333,-10.03548793795521,16.203131566490182
1957-10-01,28.32,4.5,19.634,23.022,474.864,1957,5.988023952095811,4.951600893521979,42.656,8.982782438761413,-1.3145833333333332,-10.1292243004201,13.315709444927256
1958-01-01,28.64,5.8,19.455,20.534,467.54,1958,6.985431453119162,5.988023952095811,39.989,8.553064978397568,-0.014583333333333393,-10.558941760783945,0.15398456734476648
1958-04-01,28.94,7.4,20.075,20.546,471.978,1958,8.025382605449805,6.985431453119162,40.620999999999995,8.606545220328064,1.5854166666666671,-10.50546151885345,-16.655533783015578
1958-07-01,28.89,7.5,19.739,20.595,485.841,1958,7.959641255605376,8.025382605449805,40.334,8.301893006148102,1.6854166666666668,-10.810113733033411,-18.21954585421673
1958-10-01,28.91,6.7,20.823,20.563,499.555,1958,7.792692020879932,7.959641255605376,41.385999999999996,8.284573270210487,0.885416666666667,-10.827433468971027,-9.586790050651432
1959-01-01,29.01,6.0,21.396,21.915,510.33,1959,8.125232948192341,7.792692020879932,43.311,8.486861442595968,0.18541666666666679,-10.625145296585545,-1.9700790237419044
1959-04-01,28.98,5.2,22.544,21.776,522.653,1959,7.61232825844782,8.125232948192341,44.32,8.479813566553716,-0.614583333333333,-10.632193172627797,6.534368720677497
1959-07-01,29.15,5.1,22.868,24.079,525.034,1959,6.815683400513017,7.61232825844782,46.947,8.941706632332384,-0.7145833333333336,-10.17030010684913,7.267526951352609
1959-10-01,29.35,5.7,22.504,23.131,528.6,1959,6.688476917484554,6.815683400513017,45.635000000000005,8.633181990162694,-0.11458333333333304,-10.47882474901882,1.2006986691584034
1960-01-01,29.37,5.2,23.288,26.145,542.648,1960,6.143838091796172,6.688476917484554,49.433,9.109588536215005,-0.614583333333333,-10.002418202966508,6.147319520573164
1960-04-01,29.54,5.2,23.455,26.85,541.08,1960,5.7644110275689275,6.143838091796172,50.305,9.297146447845051,-0.614583333333333,-9.814860291336462,6.0320495540505314
1960-07-01,29.55,5.5,22.879,27.561,545.604,1960,4.824405817665833,5.7644110275689275,50.44,9.244800258062623,-0.3145833333333332,-9.86720648111889,3.1040587055186495
